time,status,f0_,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
09h,denied,21.0,2,9,30,20.0,19.07
09h,denied,21.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,228.0,2,9,30,20.0,19.07
09h,approved,228.0,36,2,27,10.14,17.64
09h,reversed,2.0,2,9,30,20.0,19.07
09h,reversed,2.0,36,2,27,10.14,17.64
09h,denied,20.0,2,9,30,20.0,19.07
09h,denied,20.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,approved,258.0,2,9,30,20.0,19.07
09h,approved,258.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,denied,28.0,2,9,30,20.0,19.07
09h,denied,28.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,279.0,2,9,30,20.0,19.07
09h,approved,279.0,36,2,27,10.14,17.64
09h,backend_reversed,3.0,2,9,30,20.0,19.07
09h,backend_reversed,3.0,36,2,27,10.14,17.64
09h,approved,287.0,2,9,30,20.0,19.07
09h,approved,287.0,36,2,27,10.14,17.64
09h,denied,26.0,2,9,30,20.0,19.07
09h,denied,26.0,36,2,27,10.14,17.64
09h,denied,36.0,2,9,30,20.0,19.07
09h,denied,36.0,36,2,27,10.14,17.64
09h,reversed,3.0,2,9,30,20.0,19.07
09h,reversed,3.0,36,2,27,10.14,17.64
09h,approved,295.0,2,9,30,20.0,19.07
09h,approved,295.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,251.0,2,9,30,20.0,19.07
09h,approved,251.0,36,2,27,10.14,17.64
09h,denied,30.0,2,9,30,20.0,19.07
09h,denied,30.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,denied,26.0,2,9,30,20.0,19.07
09h,denied,26.0,36,2,27,10.14,17.64
09h,approved,266.0,2,9,30,20.0,19.07
09h,approved,266.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,reversed,4.0,2,9,30,20.0,19.07
09h,reversed,4.0,36,2,27,10.14,17.64
09h,backend_reversed,2.0,2,9,30,20.0,19.07
09h,backend_reversed,2.0,36,2,27,10.14,17.64
09h,denied,27.0,2,9,30,20.0,19.07
09h,denied,27.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,approved,279.0,2,9,30,20.0,19.07
09h,approved,279.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,denied,35.0,2,9,30,20.0,19.07
09h,denied,35.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,approved,291.0,2,9,30,20.0,19.07
09h,approved,291.0,36,2,27,10.14,17.64
09h,backend_reversed,3.0,2,9,30,20.0,19.07
09h,backend_reversed,3.0,36,2,27,10.14,17.64
09h,approved,297.0,2,9,30,20.0,19.07
09h,approved,297.0,36,2,27,10.14,17.64
09h,denied,25.0,2,9,30,20.0,19.07
09h,denied,25.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,reversed,3.0,2,9,30,20.0,19.07
09h,reversed,3.0,36,2,27,10.14,17.64
09h,denied,31.0,2,9,30,20.0,19.07
09h,denied,31.0,36,2,27,10.14,17.64
09h,approved,276.0,2,9,30,20.0,19.07
09h,approved,276.0,36,2,27,10.14,17.64
09h,approved,270.0,2,9,30,20.0,19.07
09h,approved,270.0,36,2,27,10.14,17.64
09h,denied,24.0,2,9,30,20.0,19.07
09h,denied,24.0,36,2,27,10.14,17.64
09h,backend_reversed,2.0,2,9,30,20.0,19.07
09h,backend_reversed,2.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,approved,282.0,2,9,30,20.0,19.07
09h,approved,282.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,denied,39.0,2,9,30,20.0,19.07
09h,denied,39.0,36,2,27,10.14,17.64
09h,reversed,3.0,2,9,30,20.0,19.07
09h,reversed,3.0,36,2,27,10.14,17.64
09h,approved,295.0,2,9,30,20.0,19.07
09h,approved,295.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,denied,28.0,2,9,30,20.0,19.07
09h,denied,28.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,approved,289.0,2,9,30,20.0,19.07
09h,approved,289.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,denied,32.0,2,9,30,20.0,19.07
09h,denied,32.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,301.0,2,9,30,20.0,19.07
09h,approved,301.0,36,2,27,10.14,17.64
09h,reversed,2.0,2,9,30,20.0,19.07
09h,reversed,2.0,36,2,27,10.14,17.64
09h,denied,30.0,2,9,30,20.0,19.07
09h,denied,30.0,36,2,27,10.14,17.64
09h,denied,26.0,2,9,30,20.0,19.07
09h,denied,26.0,36,2,27,10.14,17.64
09h,approved,313.0,2,9,30,20.0,19.07
09h,approved,313.0,36,2,27,10.14,17.64
09h,reversed,3.0,2,9,30,20.0,19.07
09h,reversed,3.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,319.0,2,9,30,20.0,19.07
09h,approved,319.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,denied,41.0,2,9,30,20.0,19.07
09h,denied,41.0,36,2,27,10.14,17.64
09h,reversed,2.0,2,9,30,20.0,19.07
09h,reversed,2.0,36,2,27,10.14,17.64
09h,approved,307.0,2,9,30,20.0,19.07
09h,approved,307.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,denied,31.0,2,9,30,20.0,19.07
09h,denied,31.0,36,2,27,10.14,17.64
09h,denied,22.0,2,9,30,20.0,19.07
09h,denied,22.0,36,2,27,10.14,17.64
09h,approved,323.0,2,9,30,20.0,19.07
09h,approved,323.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,333.0,2,9,30,20.0,19.07
09h,approved,333.0,36,2,27,10.14,17.64
09h,denied,29.0,2,9,30,20.0,19.07
09h,denied,29.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,approved,324.0,2,9,30,20.0,19.07
09h,approved,324.0,36,2,27,10.14,17.64
09h,denied,39.0,2,9,30,20.0,19.07
09h,denied,39.0,36,2,27,10.14,17.64
09h,reversed,3.0,2,9,30,20.0,19.07
09h,reversed,3.0,36,2,27,10.14,17.64
09h,approved,332.0,2,9,30,20.0,19.07
09h,approved,332.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,reversed,3.0,2,9,30,20.0,19.07
09h,reversed,3.0,36,2,27,10.14,17.64
09h,denied,39.0,2,9,30,20.0,19.07
09h,denied,39.0,36,2,27,10.14,17.64
09h,approved,339.0,2,9,30,20.0,19.07
09h,approved,339.0,36,2,27,10.14,17.64
09h,refunded,2.0,2,9,30,20.0,19.07
09h,refunded,2.0,36,2,27,10.14,17.64
09h,reversed,4.0,2,9,30,20.0,19.07
09h,reversed,4.0,36,2,27,10.14,17.64
09h,denied,38.0,2,9,30,20.0,19.07
09h,denied,38.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,288.0,2,9,30,20.0,19.07
09h,approved,288.0,36,2,27,10.14,17.64
09h,denied,36.0,2,9,30,20.0,19.07
09h,denied,36.0,36,2,27,10.14,17.64
09h,backend_reversed,4.0,2,9,30,20.0,19.07
09h,backend_reversed,4.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,approved,323.0,2,9,30,20.0,19.07
09h,approved,323.0,36,2,27,10.14,17.64
09h,reversed,4.0,2,9,30,20.0,19.07
09h,reversed,4.0,36,2,27,10.14,17.64
09h,denied,34.0,2,9,30,20.0,19.07
09h,denied,34.0,36,2,27,10.14,17.64
09h,reversed,4.0,2,9,30,20.0,19.07
09h,reversed,4.0,36,2,27,10.14,17.64
09h,denied,36.0,2,9,30,20.0,19.07
09h,denied,36.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,312.0,2,9,30,20.0,19.07
09h,approved,312.0,36,2,27,10.14,17.64
09h,reversed,2.0,2,9,30,20.0,19.07
09h,reversed,2.0,36,2,27,10.14,17.64
09h,denied,26.0,2,9,30,20.0,19.07
09h,denied,26.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,approved,295.0,2,9,30,20.0,19.07
09h,approved,295.0,36,2,27,10.14,17.64
09h,denied,29.0,2,9,30,20.0,19.07
09h,denied,29.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,approved,315.0,2,9,30,20.0,19.07
09h,approved,315.0,36,2,27,10.14,17.64
09h,approved,333.0,2,9,30,20.0,19.07
09h,approved,333.0,36,2,27,10.14,17.64
09h,denied,39.0,2,9,30,20.0,19.07
09h,denied,39.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,reversed,5.0,2,9,30,20.0,19.07
09h,reversed,5.0,36,2,27,10.14,17.64
09h,approved,322.0,2,9,30,20.0,19.07
09h,approved,322.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,denied,30.0,2,9,30,20.0,19.07
09h,denied,30.0,36,2,27,10.14,17.64
09h,reversed,4.0,2,9,30,20.0,19.07
09h,reversed,4.0,36,2,27,10.14,17.64
09h,approved,304.0,2,9,30,20.0,19.07
09h,approved,304.0,36,2,27,10.14,17.64
09h,denied,34.0,2,9,30,20.0,19.07
09h,denied,34.0,36,2,27,10.14,17.64
09h,refunded,3.0,2,9,30,20.0,19.07
09h,refunded,3.0,36,2,27,10.14,17.64
09h,denied,36.0,2,9,30,20.0,19.07
09h,denied,36.0,36,2,27,10.14,17.64
09h,reversed,2.0,2,9,30,20.0,19.07
09h,reversed,2.0,36,2,27,10.14,17.64
09h,approved,310.0,2,9,30,20.0,19.07
09h,approved,310.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,approved,312.0,2,9,30,20.0,19.07
09h,approved,312.0,36,2,27,10.14,17.64
09h,reversed,5.0,2,9,30,20.0,19.07
09h,reversed,5.0,36,2,27,10.14,17.64
09h,denied,32.0,2,9,30,20.0,19.07
09h,denied,32.0,36,2,27,10.14,17.64
09h,approved,312.0,2,9,30,20.0,19.07
09h,approved,312.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,denied,31.0,2,9,30,20.0,19.07
09h,denied,31.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,340.0,2,9,30,20.0,19.07
09h,approved,340.0,36,2,27,10.14,17.64
09h,denied,28.0,2,9,30,20.0,19.07
09h,denied,28.0,36,2,27,10.14,17.64
09h,reversed,4.0,2,9,30,20.0,19.07
09h,reversed,4.0,36,2,27,10.14,17.64
09h,backend_reversed,2.0,2,9,30,20.0,19.07
09h,backend_reversed,2.0,36,2,27,10.14,17.64
09h,refunded,4.0,2,9,30,20.0,19.07
09h,refunded,4.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,approved,307.0,2,9,30,20.0,19.07
09h,approved,307.0,36,2,27,10.14,17.64
09h,denied,32.0,2,9,30,20.0,19.07
09h,denied,32.0,36,2,27,10.14,17.64
09h,reversed,2.0,2,9,30,20.0,19.07
09h,reversed,2.0,36,2,27,10.14,17.64
09h,approved,316.0,2,9,30,20.0,19.07
09h,approved,316.0,36,2,27,10.14,17.64
09h,denied,38.0,2,9,30,20.0,19.07
09h,denied,38.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,reversed,4.0,2,9,30,20.0,19.07
09h,reversed,4.0,36,2,27,10.14,17.64
09h,backend_reversed,2.0,2,9,30,20.0,19.07
09h,backend_reversed,2.0,36,2,27,10.14,17.64
09h,denied,35.0,2,9,30,20.0,19.07
09h,denied,35.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,backend_reversed,2.0,2,9,30,20.0,19.07
09h,backend_reversed,2.0,36,2,27,10.14,17.64
09h,approved,315.0,2,9,30,20.0,19.07
09h,approved,315.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,322.0,2,9,30,20.0,19.07
09h,approved,322.0,36,2,27,10.14,17.64
09h,denied,36.0,2,9,30,20.0,19.07
09h,denied,36.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,approved,342.0,2,9,30,20.0,19.07
09h,approved,342.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,denied,38.0,2,9,30,20.0,19.07
09h,denied,38.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,denied,41.0,2,9,30,20.0,19.07
09h,denied,41.0,36,2,27,10.14,17.64
09h,approved,321.0,2,9,30,20.0,19.07
09h,approved,321.0,36,2,27,10.14,17.64
09h,reversed,4.0,2,9,30,20.0,19.07
09h,reversed,4.0,36,2,27,10.14,17.64
09h,refunded,2.0,2,9,30,20.0,19.07
09h,refunded,2.0,36,2,27,10.14,17.64
09h,denied,33.0,2,9,30,20.0,19.07
09h,denied,33.0,36,2,27,10.14,17.64
09h,reversed,3.0,2,9,30,20.0,19.07
09h,reversed,3.0,36,2,27,10.14,17.64
09h,approved,350.0,2,9,30,20.0,19.07
09h,approved,350.0,36,2,27,10.14,17.64
09h,backend_reversed,2.0,2,9,30,20.0,19.07
09h,backend_reversed,2.0,36,2,27,10.14,17.64
09h,approved,340.0,2,9,30,20.0,19.07
09h,approved,340.0,36,2,27,10.14,17.64
09h,denied,30.0,2,9,30,20.0,19.07
09h,denied,30.0,36,2,27,10.14,17.64
09h,reversed,2.0,2,9,30,20.0,19.07
09h,reversed,2.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,refunded,3.0,2,9,30,20.0,19.07
09h,refunded,3.0,36,2,27,10.14,17.64
09h,reversed,3.0,2,9,30,20.0,19.07
09h,reversed,3.0,36,2,27,10.14,17.64
09h,approved,350.0,2,9,30,20.0,19.07
09h,approved,350.0,36,2,27,10.14,17.64
09h,denied,33.0,2,9,30,20.0,19.07
09h,denied,33.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,denied,36.0,2,9,30,20.0,19.07
09h,denied,36.0,36,2,27,10.14,17.64
09h,approved,328.0,2,9,30,20.0,19.07
09h,approved,328.0,36,2,27,10.14,17.64
09h,reversed,2.0,2,9,30,20.0,19.07
09h,reversed,2.0,36,2,27,10.14,17.64
09h,denied,39.0,2,9,30,20.0,19.07
09h,denied,39.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,approved,317.0,2,9,30,20.0,19.07
09h,approved,317.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,reversed,3.0,2,9,30,20.0,19.07
09h,reversed,3.0,36,2,27,10.14,17.64
09h,denied,29.0,2,9,30,20.0,19.07
09h,denied,29.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,approved,324.0,2,9,30,20.0,19.07
09h,approved,324.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,362.0,2,9,30,20.0,19.07
09h,approved,362.0,36,2,27,10.14,17.64
09h,denied,26.0,2,9,30,20.0,19.07
09h,denied,26.0,36,2,27,10.14,17.64
09h,reversed,2.0,2,9,30,20.0,19.07
09h,reversed,2.0,36,2,27,10.14,17.64
09h,denied,37.0,2,9,30,20.0,19.07
09h,denied,37.0,36,2,27,10.14,17.64
09h,approved,362.0,2,9,30,20.0,19.07
09h,approved,362.0,36,2,27,10.14,17.64
09h,backend_reversed,2.0,2,9,30,20.0,19.07
09h,backend_reversed,2.0,36,2,27,10.14,17.64
09h,refunded,1.0,2,9,30,20.0,19.07
09h,refunded,1.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,336.0,2,9,30,20.0,19.07
09h,approved,336.0,36,2,27,10.14,17.64
09h,denied,45.0,2,9,30,20.0,19.07
09h,denied,45.0,36,2,27,10.14,17.64
09h,approved,350.0,2,9,30,20.0,19.07
09h,approved,350.0,36,2,27,10.14,17.64
09h,refunded,2.0,2,9,30,20.0,19.07
09h,refunded,2.0,36,2,27,10.14,17.64
09h,denied,46.0,2,9,30,20.0,19.07
09h,denied,46.0,36,2,27,10.14,17.64
09h,reversed,5.0,2,9,30,20.0,19.07
09h,reversed,5.0,36,2,27,10.14,17.64
09h,backend_reversed,3.0,2,9,30,20.0,19.07
09h,backend_reversed,3.0,36,2,27,10.14,17.64
09h,backend_reversed,3.0,2,9,30,20.0,19.07
09h,backend_reversed,3.0,36,2,27,10.14,17.64
09h,approved,351.0,2,9,30,20.0,19.07
09h,approved,351.0,36,2,27,10.14,17.64
09h,reversed,3.0,2,9,30,20.0,19.07
09h,reversed,3.0,36,2,27,10.14,17.64
09h,denied,48.0,2,9,30,20.0,19.07
09h,denied,48.0,36,2,27,10.14,17.64
09h,denied,35.0,2,9,30,20.0,19.07
09h,denied,35.0,36,2,27,10.14,17.64
09h,approved,327.0,2,9,30,20.0,19.07
09h,approved,327.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,reversed,2.0,2,9,30,20.0,19.07
09h,reversed,2.0,36,2,27,10.14,17.64
09h,backend_reversed,1.0,2,9,30,20.0,19.07
09h,backend_reversed,1.0,36,2,27,10.14,17.64
09h,approved,326.0,2,9,30,20.0,19.07
09h,approved,326.0,36,2,27,10.14,17.64
09h,reversed,1.0,2,9,30,20.0,19.07
09h,reversed,1.0,36,2,27,10.14,17.64
09h,denied,35.0,2,9,30,20.0,19.07
09h,denied,35.0,36,2,27,10.14,17.64
10h,reversed,2.0,55,51,45,29.42,28.35
10h,reversed,2.0,43,55,42,26.14,28.57
10h,denied,35.0,55,51,45,29.42,28.35
10h,denied,35.0,43,55,42,26.14,28.57
10h,backend_reversed,2.0,55,51,45,29.42,28.35
10h,backend_reversed,2.0,43,55,42,26.14,28.57
10h,approved,363.0,55,51,45,29.42,28.35
10h,approved,363.0,43,55,42,26.14,28.57
10h,refunded,2.0,55,51,45,29.42,28.35
10h,refunded,2.0,43,55,42,26.14,28.57
10h,approved,372.0,55,51,45,29.42,28.35
10h,approved,372.0,43,55,42,26.14,28.57
10h,reversed,2.0,55,51,45,29.42,28.35
10h,reversed,2.0,43,55,42,26.14,28.57
10h,denied,36.0,55,51,45,29.42,28.35
10h,denied,36.0,43,55,42,26.14,28.57
10h,approved,363.0,55,51,45,29.42,28.35
10h,approved,363.0,43,55,42,26.14,28.57
10h,reversed,2.0,55,51,45,29.42,28.35
10h,reversed,2.0,43,55,42,26.14,28.57
10h,refunded,1.0,55,51,45,29.42,28.35
10h,refunded,1.0,43,55,42,26.14,28.57
10h,denied,33.0,55,51,45,29.42,28.35
10h,denied,33.0,43,55,42,26.14,28.57
10h,backend_reversed,2.0,55,51,45,29.42,28.35
10h,backend_reversed,2.0,43,55,42,26.14,28.57
10h,backend_reversed,2.0,55,51,45,29.42,28.35
10h,backend_reversed,2.0,43,55,42,26.14,28.57
10h,approved,360.0,55,51,45,29.42,28.35
10h,approved,360.0,43,55,42,26.14,28.57
10h,denied,30.0,55,51,45,29.42,28.35
10h,denied,30.0,43,55,42,26.14,28.57
10h,reversed,4.0,55,51,45,29.42,28.35
10h,reversed,4.0,43,55,42,26.14,28.57
10h,denied,39.0,55,51,45,29.42,28.35
10h,denied,39.0,43,55,42,26.14,28.57
10h,approved,336.0,55,51,45,29.42,28.35
10h,approved,336.0,43,55,42,26.14,28.57
10h,reversed,3.0,55,51,45,29.42,28.35
10h,reversed,3.0,43,55,42,26.14,28.57
10h,denied,29.0,55,51,45,29.42,28.35
10h,denied,29.0,43,55,42,26.14,28.57
10h,reversed,4.0,55,51,45,29.42,28.35
10h,reversed,4.0,43,55,42,26.14,28.57
10h,approved,335.0,55,51,45,29.42,28.35
10h,approved,335.0,43,55,42,26.14,28.57
10h,backend_reversed,2.0,55,51,45,29.42,28.35
10h,backend_reversed,2.0,43,55,42,26.14,28.57
10h,refunded,1.0,55,51,45,29.42,28.35
10h,refunded,1.0,43,55,42,26.14,28.57
10h,denied,36.0,55,51,45,29.42,28.35
10h,denied,36.0,43,55,42,26.14,28.57
10h,backend_reversed,2.0,55,51,45,29.42,28.35
10h,backend_reversed,2.0,43,55,42,26.14,28.57
10h,approved,337.0,55,51,45,29.42,28.35
10h,approved,337.0,43,55,42,26.14,28.57
10h,approved,351.0,55,51,45,29.42,28.35
10h,approved,351.0,43,55,42,26.14,28.57
10h,denied,31.0,55,51,45,29.42,28.35
10h,denied,31.0,43,55,42,26.14,28.57
10h,refunded,1.0,55,51,45,29.42,28.35
10h,refunded,1.0,43,55,42,26.14,28.57
10h,backend_reversed,1.0,55,51,45,29.42,28.35
10h,backend_reversed,1.0,43,55,42,26.14,28.57
10h,backend_reversed,3.0,55,51,45,29.42,28.35
10h,backend_reversed,3.0,43,55,42,26.14,28.57
10h,refunded,1.0,55,51,45,29.42,28.35
10h,refunded,1.0,43,55,42,26.14,28.57
10h,approved,360.0,55,51,45,29.42,28.35
10h,approved,360.0,43,55,42,26.14,28.57
10h,denied,29.0,55,51,45,29.42,28.35
10h,denied,29.0,43,55,42,26.14,28.57
10h,reversed,3.0,55,51,45,29.42,28.35
10h,reversed,3.0,43,55,42,26.14,28.57
10h,approved,357.0,55,51,45,29.42,28.35
10h,approved,357.0,43,55,42,26.14,28.57
10h,denied,27.0,55,51,45,29.42,28.35
10h,denied,27.0,43,55,42,26.14,28.57
10h,reversed,5.0,55,51,45,29.42,28.35
10h,reversed,5.0,43,55,42,26.14,28.57
10h,approved,348.0,55,51,45,29.42,28.35
10h,approved,348.0,43,55,42,26.14,28.57
10h,denied,49.0,55,51,45,29.42,28.35
10h,denied,49.0,43,55,42,26.14,28.57
10h,reversed,2.0,55,51,45,29.42,28.35
10h,reversed,2.0,43,55,42,26.14,28.57
10h,backend_reversed,1.0,55,51,45,29.42,28.35
10h,backend_reversed,1.0,43,55,42,26.14,28.57
10h,denied,36.0,55,51,45,29.42,28.35
10h,denied,36.0,43,55,42,26.14,28.57
10h,backend_reversed,2.0,55,51,45,29.42,28.35
10h,backend_reversed,2.0,43,55,42,26.14,28.57
10h,approved,382.0,55,51,45,29.42,28.35
10h,approved,382.0,43,55,42,26.14,28.57
10h,reversed,2.0,55,51,45,29.42,28.35
10h,reversed,2.0,43,55,42,26.14,28.57
10h,refunded,2.0,55,51,45,29.42,28.35
10h,refunded,2.0,43,55,42,26.14,28.57
10h,approved,348.0,55,51,45,29.42,28.35
10h,approved,348.0,43,55,42,26.14,28.57
10h,denied,30.0,55,51,45,29.42,28.35
10h,denied,30.0,43,55,42,26.14,28.57
10h,reversed,4.0,55,51,45,29.42,28.35
10h,reversed,4.0,43,55,42,26.14,28.57
10h,backend_reversed,1.0,55,51,45,29.42,28.35
10h,backend_reversed,1.0,43,55,42,26.14,28.57
10h,approved,346.0,55,51,45,29.42,28.35
10h,approved,346.0,43,55,42,26.14,28.57
10h,denied,45.0,55,51,45,29.42,28.35
10h,denied,45.0,43,55,42,26.14,28.57
10h,reversed,3.0,55,51,45,29.42,28.35
10h,reversed,3.0,43,55,42,26.14,28.57
10h,backend_reversed,2.0,55,51,45,29.42,28.35
10h,backend_reversed,2.0,43,55,42,26.14,28.57
10h,refunded,2.0,55,51,45,29.42,28.35
10h,refunded,2.0,43,55,42,26.14,28.57
10h,approved,326.0,55,51,45,29.42,28.35
10h,approved,326.0,43,55,42,26.14,28.57
10h,denied,42.0,55,51,45,29.42,28.35
10h,denied,42.0,43,55,42,26.14,28.57
10h,reversed,1.0,55,51,45,29.42,28.35
